Wild Fall Chinook,Hatchery Fall Chinook,Unknown Sockeye,Wild Coho
251,249,251,254
251,249,251,254
251,249,251,254
251,249,252,254
251,249,252,264
251,249,252,264
251,249,252,264
251,249,252,265
251,249,252,265
251,249,252,265
251,249,252,265
251,249,253,265
252,249,253,265
252,249,253,265
252,251,253,265
252,251,253,265
252,251,253,265
252,251,253,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
252,251,254,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,251,255,266
253,252,255,266
253,252,255,266
253,252,256,266
253,252,256,266
253,252,256,266
253,252,256,266
253,252,256,266
253,253,256,266
253,253,256,266
253,253,256,266
253,253,256,266
253,253,256,266
253,253,256,266
253,253,256,266
253,254,256,266
253,254,256,266
253,254,256,266
253,254,256,266
253,254,256,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,257,266
253,254,258,266
253,254,258,266
253,254,258,266
253,255,258,266
253,255,258,266
253,255,258,266
253,255,258,266
253,255,258,266
253,255,258,266
253,255,258,266
253,255,259,266
253,255,259,266
253,255,259,266
253,255,259,266
253,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,259,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,255,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,260,266
254,256,261,266
254,256,261,271
254,256,261,271
254,256,261,271
254,256,261,271
254,256,261,271
254,256,261,271
