Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
242,239,223,220,253,283,264,281
242,239,223,220,253,283,264,281
242,239,223,220,253,283,264,281
242,239,224,220,253,283,264,282
242,239,224,220,253,283,264,282
242,239,224,220,253,283,264,282
242,239,224,220,253,283,264,282
242,239,224,220,254,283,264,282
242,239,224,220,254,283,264,282
242,239,224,220,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,225,221,254,283,264,282
242,240,226,221,254,283,264,282
242,240,226,221,254,283,264,282
242,240,226,221,254,283,264,282
242,240,226,222,254,283,264,283
242,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,255,283,264,283
243,240,226,222,256,283,264,283
243,240,226,223,256,283,264,283
243,240,226,223,256,283,264,283
243,240,226,223,256,283,264,283
243,240,226,223,256,283,265,283
243,240,226,223,256,283,265,283
243,240,226,223,256,283,265,283
243,240,226,223,256,283,265,283
243,240,226,223,256,283,265,283
243,240,226,223,256,283,265,283
243,240,227,224,256,283,265,283
243,240,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,256,283,265,283
243,241,227,224,257,283,265,283
243,241,227,224,257,283,265,283
243,241,227,224,257,283,265,283
243,241,227,224,257,283,265,283
244,241,228,225,257,283,265,283
244,241,228,225,257,283,265,283
244,241,228,225,257,283,265,283
244,241,228,225,257,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,258,283,265,283
244,241,228,225,259,283,265,283
244,241,228,225,259,283,265,283
244,241,228,225,259,283,265,283
244,241,229,225,259,283,266,283
244,242,229,226,259,283,266,283
244,242,229,226,259,283,266,283
244,242,229,226,259,283,266,283
244,242,229,226,259,283,266,283
244,242,229,226,259,283,266,283
244,242,229,226,260,283,266,283
244,242,229,226,260,283,266,283
244,242,229,226,260,283,266,283
244,242,229,226,260,283,266,283
244,242,229,226,260,283,266,283
244,242,229,226,260,284,266,283
244,242,229,226,260,284,266,283
244,242,229,226,260,284,266,283
244,242,229,226,260,284,266,283
244,242,229,226,260,284,266,283
244,242,229,226,260,284,266,283
244,242,230,226,260,284,266,283
244,242,230,226,260,284,267,283
244,242,230,226,261,284,267,283
244,242,230,226,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
244,242,230,227,261,284,267,283
245,242,230,227,261,284,267,283
245,242,230,227,261,284,267,283
245,242,230,227,261,284,267,283
245,242,230,227,262,285,267,283
245,242,230,227,262,285,267,283
245,242,230,227,262,285,267,283
245,242,230,227,262,285,267,283
245,242,230,227,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,267,283
245,242,231,228,262,285,268,283
245,242,231,228,262,285,268,283
245,242,231,228,262,285,268,283
245,242,231,228,263,285,268,283
245,242,231,228,263,285,268,283
245,242,231,228,263,285,268,283
245,242,232,228,263,285,268,283
245,243,232,228,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,232,229,263,285,269,283
245,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,263,285,269,283
246,243,233,229,264,285,269,283
246,243,233,229,264,285,269,283
246,243,233,230,264,285,269,283
246,243,233,230,264,285,269,283
246,243,233,230,264,285,269,283
246,243,233,230,264,285,269,283
246,243,233,230,264,285,269,283
246,243,233,230,264,285,270,283
246,243,234,230,264,285,270,283
246,243,234,230,264,285,270,283
246,243,234,230,264,285,270,283
246,243,234,230,264,285,270,283
246,243,234,230,264,285,270,283
246,243,234,230,264,285,270,283
247,243,234,231,264,285,270,283
247,243,234,231,264,285,270,283
247,243,234,231,264,285,270,283
247,243,234,231,264,285,270,283
247,244,234,231,264,285,270,283
247,244,234,231,264,285,270,283
247,244,234,231,264,285,270,283
247,244,234,231,264,285,270,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,231,264,285,271,283
247,244,235,232,264,285,271,283
247,244,235,232,264,285,271,283
247,244,235,232,265,285,271,283
247,244,235,232,265,285,271,283
247,244,235,232,265,285,271,283
247,244,235,232,265,285,271,283
247,244,236,232,265,285,271,284
247,244,236,232,265,285,271,284
247,244,236,232,265,285,271,284
247,244,236,232,265,285,271,284
247,244,236,232,265,286,271,284
247,244,236,232,265,286,271,284
247,244,236,232,265,286,271,284
247,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,236,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,237,233,265,286,271,284
248,244,238,233,265,286,271,284
248,244,238,233,265,286,271,284
248,244,238,234,266,286,271,284
248,244,238,234,266,286,271,284
248,244,239,234,267,286,271,284
248,245,239,234,267,286,271,284
248,245,239,234,267,286,272,284
248,245,239,234,267,286,272,284
248,245,240,234,268,286,272,284
248,245,240,234,268,286,272,284
248,245,240,234,268,286,272,284
248,245,240,234,268,286,272,284
248,245,240,235,268,286,272,284
249,245,240,235,268,286,272,284
249,245,240,235,268,286,272,284
249,245,240,235,268,286,272,284
249,245,240,235,268,286,272,284
249,245,240,235,268,286,272,284
249,245,240,235,268,286,272,285
249,245,240,235,268,286,272,285
249,245,240,235,268,286,272,285
249,245,240,235,269,286,272,285
249,245,240,236,269,286,272,285
249,245,240,236,269,287,272,285
249,245,240,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
