Wild Fall Chinook,Hatchery Fall Chinook,Unknown Fall Chinook,Unknown Summer Steelhead,Wild Type S Coho,Hatchery Type S Coho
273,265,298,264,291,280
273,265,298,264,291,280
273,265,298,264,291,280
274,265,298,264,291,280
274,265,298,264,291,280
274,265,298,264,291,280
274,266,298,264,291,280
274,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
275,266,298,264,291,280
276,266,298,265,291,280
276,266,298,265,291,280
276,266,298,265,291,280
276,266,298,265,291,280
277,266,298,265,291,280
277,266,298,265,291,280
277,266,298,265,291,280
277,266,298,265,291,280
277,266,298,265,291,281
277,266,298,265,292,281
277,266,298,265,292,281
277,266,298,265,292,281
277,266,299,266,292,281
277,266,299,266,292,281
277,266,299,266,292,281
278,266,299,266,292,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,294,281
278,267,299,266,297,281
278,267,299,266,297,281
278,267,299,266,298,281
278,267,299,266,298,281
278,267,299,266,298,281
278,267,299,267,298,281
278,267,299,267,299,281
278,267,299,267,299,281
278,267,299,267,299,281
279,267,299,267,299,281
279,267,299,267,300,281
279,267,299,267,300,281
279,267,299,267,300,281
279,267,299,267,300,281
279,267,299,267,301,281
279,267,299,267,301,281
279,267,299,267,301,281
279,267,299,267,301,281
279,267,299,267,301,281
279,267,299,267,301,281
279,267,299,267,301,281
280,267,299,267,301,281
280,267,299,267,301,281
280,267,299,267,301,281
280,267,299,267,301,281
280,267,299,267,303,281
280,267,299,267,303,281
281,267,299,267,303,282
281,267,299,267,303,282
281,267,299,267,303,282
281,267,299,267,303,282
281,267,299,267,303,282
282,267,299,267,303,282
282,268,299,267,303,282
282,268,299,267,303,282
283,268,299,267,303,282
283,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,303,282
284,268,299,267,304,282
285,268,299,267,304,282
285,268,299,267,304,282
285,268,299,267,304,282
285,268,299,267,304,282
285,268,299,267,304,282
286,268,299,267,304,282
286,268,299,267,304,282
286,268,299,267,304,282
286,268,299,267,304,282
286,268,299,267,305,282
286,268,299,267,305,282
287,268,299,267,305,282
287,268,299,267,305,282
287,268,299,267,305,282
287,268,299,267,305,282
287,268,299,267,305,282
287,268,299,267,305,283
287,268,299,267,305,283
287,268,299,267,305,287
287,268,299,267,306,287
288,268,299,268,306,287
288,268,299,268,306,287
289,268,299,268,306,287
289,268,299,268,306,287
289,268,300,268,306,290
289,268,300,268,306,290
290,268,300,268,306,290
290,268,300,268,306,290
290,268,300,268,306,290
290,268,300,268,306,290
290,268,300,268,306,293
290,269,300,268,307,293
290,269,300,268,307,293
291,269,300,268,307,293
291,269,300,268,307,293
291,269,300,268,307,293
292,269,300,268,307,296
292,269,300,268,307,296
294,269,300,268,307,297
294,269,300,268,307,297
294,269,300,268,307,297
294,269,300,268,307,297
295,269,300,268,307,297
296,269,300,268,307,297
296,269,300,268,308,299
296,269,300,268,308,299
296,269,300,268,309,299
297,269,300,268,309,299
297,269,300,268,309,299
297,269,300,268,309,299
297,269,300,268,309,300
297,269,300,269,310,300
297,269,300,269,310,300
297,269,300,269,310,300
297,269,300,269,310,301
297,269,300,269,311,301
297,269,300,269,311,301
297,269,300,269,311,301
298,269,300,269,311,301
298,269,300,269,312,301
298,269,300,269,312,301
298,269,300,269,312,301
298,269,300,269,312,302
298,269,300,270,312,302
298,269,300,270,314,302
298,269,300,270,314,302
298,269,300,270,314,302
298,269,300,270,314,302
298,270,300,270,317,302
298,270,300,270,317,302
298,270,301,270,318,302
298,270,301,270,318,302
298,270,301,272,318,302
298,270,301,272,318,303
298,270,301,272,318,303
298,270,301,272,318,303
298,270,301,272,318,303
298,270,301,272,318,303
298,270,301,272,319,303
298,270,301,272,319,303
298,270,301,272,319,303
298,270,301,272,319,303
298,270,301,272,319,303
298,270,301,272,319,303
298,270,301,272,319,305
298,270,301,272,319,305
298,270,301,273,319,305
298,270,301,273,319,305
298,270,301,273,319,305
298,270,301,273,319,305
298,270,301,273,320,305
298,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,270,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,320,306
299,271,302,273,321,307
299,271,302,273,321,307
300,271,302,278,321,307
300,271,302,278,321,307
300,271,303,278,321,307
300,271,303,278,321,307
300,271,303,278,321,308
300,271,303,278,321,308
300,271,303,278,321,308
300,271,303,278,321,308
300,271,303,278,321,309
300,271,303,278,321,309
