Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum,Wild Pink,Hatchery Pink
167,221,274,262,321,325,245,251
167,221,274,262,321,325,245,253
167,221,274,262,321,325,245,255
167,221,274,262,321,325,245,255
167,221,274,262,321,325,245,255
167,221,274,262,321,325,245,255
167,222,274,262,321,325,245,258
167,222,274,262,321,325,245,258
168,222,274,262,321,325,245,258
168,222,274,262,321,325,245,258
168,222,274,262,321,325,245,258
168,222,274,263,321,325,245,258
168,222,274,263,321,325,245,258
168,222,274,263,321,325,245,258
168,222,274,263,321,325,245,258
168,222,274,263,321,325,245,259
168,222,274,263,321,325,245,259
168,222,275,263,321,325,245,259
168,222,275,263,321,325,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,222,275,263,321,326,245,259
168,223,275,263,321,326,245,259
168,223,275,263,321,326,245,259
168,223,275,263,322,326,245,260
168,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,245,260
169,223,275,263,322,326,246,260
169,223,275,263,322,326,246,260
169,223,275,263,322,326,247,260
169,223,275,263,322,326,247,260
169,223,275,263,322,326,247,260
169,223,275,263,322,326,247,260
169,223,275,263,322,326,247,260
169,223,275,263,322,326,247,260
169,223,275,264,322,326,247,261
169,223,275,264,322,326,247,261
169,223,275,264,322,326,247,261
169,223,275,264,322,327,247,261
170,223,275,264,322,327,247,261
170,223,276,264,322,327,247,261
170,223,276,264,322,327,247,261
170,223,276,264,322,327,247,261
170,223,276,264,322,327,247,261
170,223,276,264,322,327,247,262
170,223,276,264,322,327,248,262
170,223,276,264,322,327,248,262
170,223,276,264,322,327,248,262
171,223,276,264,322,327,248,262
171,223,276,264,322,327,248,262
171,224,276,264,322,328,248,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,249,262
171,224,276,264,322,328,250,262
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,276,264,322,328,250,263
171,224,277,264,322,328,250,263
171,224,277,264,322,328,250,265
172,224,277,264,322,328,250,265
172,224,277,264,322,328,250,265
172,224,277,264,322,328,250,265
172,224,277,264,322,328,250,266
172,225,277,264,322,328,250,266
172,225,277,264,322,329,250,267
172,225,277,264,322,329,250,267
172,225,277,264,323,329,250,267
172,225,277,264,323,329,250,267
172,225,277,265,323,329,250,267
172,225,277,265,323,329,250,267
172,225,277,265,323,329,250,267
172,225,277,265,323,329,250,267
173,225,277,265,323,329,250,267
173,225,277,265,323,329,250,269
173,225,277,265,323,329,250,269
173,225,277,265,323,329,250,269
173,225,277,265,323,329,250,269
173,225,277,265,323,329,251,269
173,225,277,265,323,329,251,269
173,225,277,265,323,329,251,269
173,225,277,265,323,329,251,269
173,225,277,265,323,329,251,269
173,225,277,265,323,329,252,269
173,225,277,265,323,330,252,269
173,225,277,265,323,330,252,269
173,225,277,265,323,330,252,269
174,225,277,265,323,330,252,269
174,226,277,265,323,330,252,269
174,226,277,265,323,330,252,269
174,226,277,265,323,330,252,269
174,226,277,265,323,330,252,269
174,226,277,265,323,330,252,269
174,226,277,265,323,330,253,269
174,226,277,265,323,330,253,272
174,226,277,265,323,330,253,272
174,226,277,265,323,330,253,272
174,226,277,265,323,330,254,274
174,226,277,265,323,330,254,274
174,226,277,265,323,330,255,274
174,226,277,265,323,330,255,274
174,226,278,265,323,331,255,274
174,226,278,265,323,331,255,274
174,226,278,265,323,331,255,275
174,226,278,265,323,331,255,275
174,226,278,265,323,331,255,275
174,226,278,265,323,331,255,275
174,226,278,266,323,331,255,275
174,226,278,266,323,331,255,275
174,226,278,266,323,331,255,276
174,226,278,266,323,331,255,276
174,226,278,266,323,331,255,276
174,226,278,266,323,331,255,276
175,226,278,266,323,331,255,276
175,226,278,266,323,331,255,276
175,226,278,266,323,331,255,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
175,226,278,266,323,331,256,279
